State,Year,Quarter,District,Code,Transactions,Amount (INR),ATV (INR),Registered Users,App Opens
Andaman & Nicobar Islands,2018,1,Nicobars,AN01,528,"11,39,849","2,159",262,0
Andaman & Nicobar Islands,2018,1,North And Middle Andaman,AN02,442,"9,31,663","2,108",632,0
Andaman & Nicobar Islands,2018,1,South Andaman,AN03,"5,688","1,25,60,249","2,208","5,846",0
Andhra Pradesh,2018,1,Anantapur,AP01,"6,38,664","78,88,30,646","1,235","2,41,192",0
Andhra Pradesh,2018,1,Chittoor,AP02,"8,30,324","1,00,96,21,878","1,216","3,09,541",0
Andhra Pradesh,2018,1,East Godavari,AP03,"9,43,935","1,23,57,85,516","1,309","3,50,356",0
Andhra Pradesh,2018,1,Guntur,AP04,"8,15,932","1,10,86,86,589","1,359","3,17,065",0
Andhra Pradesh,2018,1,Krishna,AP05,"8,63,935","1,28,42,55,180","1,487","3,23,673",0
Andhra Pradesh,2018,1,Kurnool,AP06,"6,79,623","76,49,05,299","1,125","2,40,133",0
Andhra Pradesh,2018,1,Prakasam,AP07,"5,34,757","74,89,90,776","1,401","1,89,949",0
Andhra Pradesh,2018,1,Spsr Nellore,AP08,"5,31,612","67,66,43,238","1,273","1,94,475",0
Andhra Pradesh,2018,1,Srikakulam,AP09,"4,58,921","58,77,78,029","1,281","1,43,839",0
Andhra Pradesh,2018,1,Visakhapatnam,AP10,"12,56,469","1,74,99,66,197","1,393","4,97,187",0
Andhra Pradesh,2018,1,Vizianagaram,AP11,"4,20,990","50,57,83,446","1,201","1,28,905",0
Andhra Pradesh,2018,1,West Godavari,AP12,"5,77,090","85,35,47,669","1,479","2,13,335",0
Andhra Pradesh,2018,1,Ysr,AP13,"4,87,333","68,14,81,931","1,398","1,86,800",0
Arunachal Pradesh,2018,1,Anjaw,AR01,0,0,#DIV/0!,278,0
Arunachal Pradesh,2018,1,Changlang,AR02,"3,195","53,80,749","1,684","1,208",0
Arunachal Pradesh,2018,1,Dibang Valley,AR21,2,170,85,66,0
Arunachal Pradesh,2018,1,East Kameng,AR03,529,"4,73,825",896,222,0
Arunachal Pradesh,2018,1,East Siang,AR04,"3,286","55,33,620","1,684","1,803",0
Arunachal Pradesh,2018,1,Kamle,AR05,14,"7,971",569,22,0
Arunachal Pradesh,2018,1,Kra Daadi,AR06,207,"4,95,375","2,393",88,0
Arunachal Pradesh,2018,1,Kurung Kumey,AR07,84,"99,417","1,184",97,0
Arunachal Pradesh,2018,1,Lepa Rada,AR08,288,"4,03,149","1,400",210,0
Arunachal Pradesh,2018,1,Lohit,AR09,"3,747","1,14,96,950","3,068","1,207",0
Arunachal Pradesh,2018,1,Longding,AR10,"2,321","43,61,532","1,879",256,0
Arunachal Pradesh,2018,1,Lower Dibang Valley,AR11,"1,356","10,76,237",794,601,0
Arunachal Pradesh,2018,1,Lower Siang,AR12,"1,292","23,37,961","1,810",270,0
Arunachal Pradesh,2018,1,Lower Subansiri,AR13,"1,477","36,50,728","2,472",498,0
Arunachal Pradesh,2018,1,Namsai,AR14,"1,400","21,62,985","1,545",737,0
Arunachal Pradesh,2018,1,Pakke Kessang,AR15,9,"9,131","1,015",39,0
Arunachal Pradesh,2018,1,Papum Pare,AR16,"14,224","3,25,55,848","2,289","7,649",0
Arunachal Pradesh,2018,1,Shi Yomi,AR17,0,0,#DIV/0!,49,0
Arunachal Pradesh,2018,1,Siang,AR18,252,"3,39,472","1,347",192,0
Arunachal Pradesh,2018,1,Tawang,AR19,"2,334","50,55,665","2,166","1,525",0
Arunachal Pradesh,2018,1,Tirap,AR20,945,"10,64,265","1,126",557,0
Arunachal Pradesh,2018,1,Upper Siang,AR22,126,"1,86,611","1,481",301,0
Arunachal Pradesh,2018,1,Upper Subansiri,AR23,735,"13,58,368","1,848",572,0
Arunachal Pradesh,2018,1,West Kameng,AR24,"5,787","95,40,633","1,649","2,202",0
Arunachal Pradesh,2018,1,West Siang,AR25,"1,887","47,96,676","2,542",846,0
Assam,2018,1,Baksa,AS02,"20,964","2,24,57,850","1,071","6,082",0
Assam,2018,1,Barpeta,AS03,"67,801","5,63,52,302",831,"20,485",0
Assam,2018,1,Biswanath,AS04,"16,453","1,29,83,623",789,"5,164",0
Assam,2018,1,Bongaigaon,AS05,"18,899","2,15,10,945","1,138","9,724",0
Assam,2018,1,Cachar,AS06,"56,481","5,72,50,291","1,014","19,567",0
Assam,2018,1,Charaideo,AS07,"13,094","1,08,73,517",830,"4,366",0
Assam,2018,1,Chirang,AS08,"8,445","1,16,65,547","1,381","3,487",0
Assam,2018,1,Darrang,AS09,"28,031","2,15,93,879",770,"8,050",0
